"buchtitel","auflage","publikationsjahr"
"Das Blau der Frau - Kurzgeschichte eines hochfunktionalen Autisten","1. korrigierte Print Ausgabe",2021
"Das Blau der späten Stunde","1. Auflage",2015
"Das Blau des Ozeans","1. Auflage",2019
"Das blaue Boot","1. Auflage",2021
"Das blaue Kraut und andere Kurzgeschichten","1. Auflage",2017
"Das blaue Licht oder dreizehn Leben","1. Auflage",2016
"Das blaue Somali und andere Kurzgeschichten","Orig.-Ausg., 1. Aufl.",2010
"Das blaue Wunder - Out of the blue","1. Auflage",2021
"Das Blinddarm-Wochenende","1. Auflage",2020
"Das Blut der Polarlichter","1. Auflage",2020
"Das Blut der Vernunft","1. Aufl.",2011
"Das blutende Modell","1. Auflage",2022
"Das Bonus-Geheimnis und andere Geschichten aus der Business Class",NULL,2009
"Das Boot und andere Stories",NULL,2013
"Das Böse darf nicht siegen","1. Auflage",2022
"Das Böse in deiner Mitte","1. Auflage",2018
"Das Böse in mir","Originalausgabe",2018
"Das Böse kennt keine Grenzen","Erste Auflage",2018
"Das brennende Cello",NULL,2010
"Das brennende Einhorn",NULL,2023
"Das bretonische Licht",NULL,2008
"Das Bronzetor","1. Auflage",2021
"Das Buch",NULL,2012
"Das Buch danach","1. Aufl.",2014
"Das Buch der Einsamen","1. Aufl.",2012
"Das Buch der ergötzlichen Erzählungen des Bar Hebräus",NULL,2013
"Das Buch der Liebe",NULL,2019
"Das Buch der neuen Zeit","1. Aufl.",2008
"Das Buch der sieben Schreiber",NULL,2015
"Das Buch der unvollendeten Bücher und Geschichten","1. Auflage",2022
"Das Buch vom Fährmann","1. Aufl.",2015
"Das Buch vom Olli","1. Auflage",2021
"Das Buch vom Stellmacher","1. Auflage",2018
"Das Buch von Ruth","1. Auflage",2021
"Das Buch von Venedig",NULL,2016
"Das Buch zum Hessentag 2017",NULL,2017
"Das bunte Buch","1. Auflage",2020
"Das bunte Leben","Orig.-Ausg., 1. Aufl.",2012
"Das Cadvendarium - Neues aus der Wunderkammer",NULL,2020
"Das Café am Markt","1. Auflage",2020
"Das Chaos lauert überall","1. Aufl.",2013
"Das Coronaphon",NULL,2020
"DASDA","1. Auflage",2019
"Das Denken – Kurze Geschichten von vielem",NULL,2022
"Das Doppelbett des Papstes","1. Aufl.",2008
"Das Doppelleben des Harald G. ... und andere Geschichten",NULL,2010
"Das doppelte Ich","1. Auflage",2020
"Das Dorf der Frauen","Originalausgabe, 1. Auflage",2021
"Das Dorf der Nackten - freizügig und geil","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2021
"Das Dorf in Deinem Kopf",NULL,2013
"Das dreckige Dutzend","1. Aufl",2013
"Das dreißigste Jahr","Erste Auflage",2020
"Das dritte Ufer","1. Auflage",2019
"Das Dschungelbuch","1. Auflage",2020
"Das Duell",NULL,2018
"Das Dunkle",NULL,2016
"Das dunkle Spiel und andere Geschichten",NULL,2016
"Das Dunkle zwischen uns","1. Auflage",2023
"Das Echo der Tiefe",NULL,2014
"Das Efeublatt – Münsterländer Schollinsen","1. Auflage",2022
"Das Ehepaar und Andere",NULL,2014
"Das Eifel-Projekt","1. Auflage",2022
"D.A.S.E.I.N.",NULL,2016
"Da Sein",NULL,2008
"Dasein","1. Aufl.",2008
"Das Einhorn im Labyrinth",NULL,2018
"Das einsame Begräbnis","Deutsche Erstausgabe",2016
"Das Elfen-Mädchen",NULL,2013
"Das Ende der goldenen Zeit","1. Auflage",2015
"Das Ende der Kinderweihnacht",NULL,2022
"Das Ende wird Nabucco heißen","1. Aufl.",2014
"Das englische Puppenhaus","Orig.-Ausg., 1. Aufl.",2011
"Das Erdloch von Grimaldo","1. Aufl.",2013
"Das Erotik-Lesebuch der besonderen Orte",NULL,2021
"Das erste Gebet und andere Erzählungen","Deutsche Erstausgabe",2023
"Das erste Mal im Swingerclub",NULL,2023
"Das erste Mal: mit Toys!","1. Aufl.",2011
"Das erste Mal Parkplatz-Sex",NULL,2023
"Das erste Treffen",NULL,2023
"Das Erwachen von Grün und Feuer",NULL,2023
"Das erzählerische Werk","1. Aufl.",2012
"Das etwas andere Erste Mal",NULL,2008
"Das ewig Päpstliche zieht uns hinan","1. Aufl.",2010
"Das fatale Bündel","1. Aufl.",2008
"Das Fehlen des Flüsterns im Wind","1. Auflage",2018
"Das Fenster gegenüber","1. Auflage",2018
"Das Fenster zwischen den Welten – Unheimliche Erzählungen","1. Auflage",2022
"Das Feuerschiff","1. Auflage",2021
"Das Feuer und der Kolibri",NULL,2021
"Das find ich aber gar nicht komisch!","Orig.-Ausg.",2015
"Das Flussbad-Wunder und andere Erzählungen",NULL,2022
"Das Flüstern der Wipfel","Vollständige Taschenbuchausgabe",2023
"Das Flüstern zwischen den Zweigen","1. Aufl.",2011
"Das Fräulein","1. Auflage",2021
"Das Fräulein aus dem Wartesaal",NULL,2012
"Das fremde Mädchen","1. Auflage",2021
"Das Fresko","1. Auflage",2019
"Das Fressverhalten der Mäuse",NULL,2011
"Das Frühstücksei",NULL,2008
"Das fünfte Buch - neue Lebensläufe","1. Aufl.",2012
"Das Gedächtnis der Sanduhr",NULL,2022
"Das Gefängnis der Freiheit",NULL,2019
"Das Gefühl zu denken","Erste Auflage",2023
"Das Gegenwärtige des Vergangenen","1. Aufl.",2014
"Das Geheimnis","1. Auflage",2018
"Das Geheimnis der 7 Lotosblüten","1. Auflage",2021
"Das Geheimnis der alten Ming Vase und letzter Aufruf Afrika","1. Auflage",2018
"Das Geheimnis der Berge",NULL,2009
"Das Geheimnis der Damaszener Rose","1. Auflage",2021
"Das Geheimnis der Dessous","1. Aufl.",2015
"Das Geheimnis der Gerrard Street und andere seltsame Geschichten","1. Auflage",2023
"Das Geheimnis der Grünen Katze und 76 andere Kurzgeschichten",NULL,2023
"Das Geheimnis der Lady Belamy und andere Geschichten","1. Auflage",2019
"Das Geheimnis der Osterinsel und andere KunstKitsch-Geschichten",NULL,2022
"Das Geheimnis der Steine",NULL,2012
"Das Geheimnis der Verwegenen","1. Auflage",2018
"Das Geheimnis des alten Koffers",NULL,2014
"Das Geheimnis des Sommerbachs",NULL,2018
"Das Geheimnis des Überseekoffers","1. Auflage",2016
"Das geheimnisvolle Schloss","1. Auflage",2018
"Das Geheimnis von Studborne Abbey",NULL,2022
"Das geistliche Gespenst",NULL,2008
"Das gelbe Haus","1. Aufl.",2011
"... das Geld aus dem Fenster","1. Aufl.",2011
"Das Geld des Teufels",NULL,2009
"Das Geräusch der Stillleben","1. Auflage",2023
"Das Gericht der 1000 Sünden","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Das Gerüst und andere Geschichten aus Bayern",NULL,2014
"Das Geschenk der Engel",NULL,2009
"Das Geschenk des Monsieur Jacques",NULL,2018
"Das Geschenk des Sternenhimmels",NULL,2011
"Das Geschenk des Targi","1., Aufl.",2011
"Das Geschenk & Karlsbad tanzt","1. Auflage",2020
"Das Geschichtenhaus",NULL,2013
"DAS GESETZ DER WÜSTE","1. Auflage",2018
"Das Gesetz vom Fall der Körper",NULL,2013
"Das Gesetz zum Schutz der Dunkelheit",NULL,2008
"Das Gespenst mit dem Strohhut","Erste Auflage",2016
"Das geträumte Leben","1. Aufl.",2010
"Das Gewand",NULL,2020
"Das Gewicht der Seele",NULL,2009
"Das Gewitter",NULL,2011
"Das Gewitter und andere Erzählungen",NULL,2009
"Das Gewöhnliche im Leben","Originalausgabe",2018
"Das Gift der Angst","1. Auflage",2020
"Das gläserne Café",NULL,2008
"Das glaubst du ja nur","Erste Auflage",2016
"Das Glück der Melancholie",NULL,2014
"Das Glück in einer Blechdose","Orig.-Ausg.",2009
"Das Glück ist ein dämliches Grinsen",NULL,2018
"Das Glück ist eine Bohne und andere Geschichten",NULL,2021
"Das Glück ist ein Schmetterling",NULL,2014
"Das Glück ist schwarz",NULL,2015
"Das Glück mit dem Pech!","Orig.-Ausg.",2008
"Das Glück mit den Männern ... und andere Geschichten",NULL,2008
"Das Glück zwischen den Zeilen","1. Auflage",2020
"Das Glyzinienhaus",NULL,2020
"Das goldene Herz der Frau","1. Auflage",2018
"Das goldene Spiel","1. Auflage",2020
"Das Goldfisch-Komplott","1. Auflage",2015
"Das Grauen",NULL,2019
"Das grausige Hobby von Sir Joseph Londe","1. Auflage",2020
"Das große Ada-Halenza-Buch",NULL,2012
"Das große Buch vom Weihnachtsfest","Vollst. Taschenbuchausg., 1. Aufl.",2008
"Das große farbige Wilhelm-Busch-Album",NULL,2011
"Das große Katzenbuch",NULL,2009
"Das grosse Weihnachtsbuch",NULL,2009
"Das große Weihnachtsbuch","1. Auflage",2018
"Das Größte aller Tabus","1. Auflage",2022
"Das größte Geschenk",NULL,2018
"Das grüne Herz","1. Aufl.",2008
"Das Gutenberg-Konzil",NULL,2020
"Das Halbhalbe und das Ganzganze","1. Aufl.",2014
"Das Handtuch können Sie mitnehmen, aber der Fernseher bleibt hier!","Originalausgabe",2020
"Das Hängemattenbuch","Orig.-Ausg.",2011
"Das Hängemattenbuch - Geschichten von der Liebe","Orig.-Ausg.",2015
"Das Hasenpassen",NULL,2014
"Das hat er noch nie gemacht!","Deutsche Erstausgabe",2020
"Das hätte ich fast vergessen","1. Aufl.",2010
"Das hatte ich mir anders gedacht","1. Auflage",2021
"Das Hauptkommissar-Müller-Buch",NULL,2021
"Das Haus",NULL,2015
"Das Haus am Ende des Weges ...",NULL,2013
"Das Haus am Zeilenweise-Platz",NULL,2011
"Das Haus an der Brücke",NULL,2011
"Das Haus der Geschichten","1. Aufl.",2010
"Das Haus hinter dem Sumpf",NULL,2020
"Das Haus Lazarus",NULL,2020
"Das Haus mit den traurigen Augen","1. Auflage",2019
"Das Haus Nr. 83","1. Aufl.",2010
"Das Haus ohne Spiegel","1. Auflage",2014
"DAS HAUS OHNE TÜR - ERZÄHLUNGEN","1. Auflage",2019
"Das Heidenröslein",NULL,2014
"Das Heimchen zirpt - Grillentöne gereimt und ungereimt in heimischen Gedichten und Geschichten",NULL,2014
"Das heitere Frühlingsalbum",NULL,2014
"Das helle Weihnachtslicht","1. Auflage",2018
"Das Herz auf der Haut","1. Aufl.",2011
"Das Herz der Einsamkeit","1. Aufl.",2013
"Das Herz des Kaisers",NULL,2012
"Das Herz des Potts schlägt am Kanal","1. Aufl.",2012
"Das Herz hat seine Gründe",NULL,2011
"Das Herz ist das Ohr der Seele",NULL,2018
"Das Hexenhaus","1. Auflage",2021
"Das himmliche Kreuz","1. Auflage",2021
"Das Höhlenmädchen und der Höhlenmann","1. Auflage",2021
"Das Horoskop und andere merkwürdige Geschichten",NULL,2010
"Das Hosenschwein",NULL,2012
"Das Huhn auf dem Tisch","1. Auflage",2022
"Das Ich von morgen",NULL,2017
"Das Ideal","1. Aufl.",2011
"Das ist Freiheit für mich!","Originalausgabe",2019
"Das ist gegen alle Etikette","1. Aufl.",2016
"Das ist kein Berlin-Buch","1. Aufl.",2011
"Das ist noch nie passiert",NULL,2009
"Das ist so",NULL,2012
"Das ist wirklich das Allerletzte!","1. Auflage",2018
"Das Jahr der Toten",NULL,2008
"Das Kaleidoskop des weisen Händlers","1. Auflage",2017
"Das Kamel in meinem Garten und andere an den Kamelhaaren herbei gezogene Geschichten, Gedichte und Gerüchte, Briefe und Betrachtungen, Dialoge und Duette, Anklagen und Selbstbezichtigungen, Enthüllungen und Geheimtipps über mich und meine Vorfahren, über die Frauen, die Kinder, die Mäuse, den goldenen Gartenzwerg und die Welt",NULL,2008
"DAS KÄNGURU AUF DEM DACH","1. Auflage",2018
"Das Kaninchen und der Stein",NULL,2012
"Das Kind","1. Auflage, genehmigte Taschenbuchausgabe",2023
"Das Kind am Himmel","Orig.-Ausg.",2008
"Das kirschrote Stirnband",NULL,2022
"Das Klagen der Hyänen","1. Auflage",2021
"Das Klassentreffen","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2021
"Das Klassentreffen und andere Geschichten",NULL,2023
"Das kleine Abendbuch",NULL,2013
"Das kleine Buch des Dankes und Dankens","Erste Auflage",2022
"Das kleine Buch für Autoverrückte",NULL,2016
"Das kleine Buch vom Osterlachen",NULL,2023
"Das kleine Dummerle","1. Aufl.",2013
"Das kleine Glück für dich",NULL,2022
"Das kleine Glück im großen Alltag",NULL,2020
"Das kleine Gold","1. Auflage",2021
"Das kleine Kölsch das fliegen kann",NULL,2021
"Das kleine Selbst","Ungekürzte Taschenbuchausg., 1. Aufl.",2009
"Das kleine Vögelchen Piep - Kurzgeschichte eines hochfunktionalen Autisten","1. korrigierte Print Ausgabe",2021
"Das Kloster am Deich",NULL,2022
"Das Kloster am Deich II",NULL,2022
"Das Kloster am Deich III",NULL,2023
"Das Klümpchensglas und andere Geschichten aus der Eifel",NULL,2012
"Das Kneipenbuch - lustige Geschichten rund um die Kneipe","1. Auflage",2020
"Das Knie braucht Luft",NULL,2018
"Das Knie trifft nicht die Magengrube","1. Aufl.",2015
"Das kommt mir spanisch vor","Erstveröffentlichung, Erste Auflage",2022
"Das Körperalphabet","1. Aufl.",2011
"Das kosmische Spiel und 18 weitere SF-Geschichten","1. Aufl.",2014
"Das Krankenhaus am Ende der Stadt","1. Aufl.",2012
"Das Kreuz mit den Tafeln",NULL,2008
"Das Krimi-Potpourri","1. Auflage",2022
"Das Krippen-Casting","1. Auflage",2019
"Das Krokodil und der Pharao",NULL,2012
"Das kuhäugige Kamel","1. Auflage",2018
"Das Ku (h) riosum",NULL,2016
"Das Kumo-Kartell","Vollständige epub-to-Print-Ausgabe, 1. Aufl.",2016
"Das kunterbunte Weihnachtsbuch",NULL,2020
"Das Kurzgeschichten Universum","1. Auflage",2023
"Das Labyrinth","1. Auflage",2019
"Das Labyrinth und andere Kurzgeschichten",NULL,2012
"Das Lächeln der Erinnerung","1. Auflage",2022
"Das Lächeln der Galionsfigur","1. Auflage",2020
"DAS LÄCHELN DER MONA LISA BEI NACHT","1. Auflage",2018
"Das Lächeln des Himmels","Auflage 1500",2011
"Das Lächeln des Schnabeltiers","1. Auflage",2018
"Das Lächeln von Llucmajor",NULL,2021
"Das Lachen im Hals","1. Auflage",2016
"Das Lachen meines Vaters",NULL,2014
"Das Lachseminar",NULL,2014
"Das Lamm und sein Richter","1. Aufl.",2012
"Das lautlose Rinnen der Zeit","Erste Auflage",2014
"Das Leben als Konjunktiv",NULL,2015
"Das Leben anderer Leute",NULL,2012
"Das Leben an sich … und überhaupt",NULL,2011
"Das Leben auf dem Lande",NULL,2011
"Das Leben besteht aus Kurzgeschichten","1. Aufl.",2010
"Das Leben blüht für dich","1. Auflage",2018
"Das Leben - das Sterben",NULL,2010
"Das Leben der Dinge",NULL,2009
"Das Leben, der Tod und die Inseln des Glücks",NULL,2011
"Das Leben - ein Maskentanz durch die Zeit",NULL,2013
"Das Leben erzählt die schönsten, aber auch die unglaublichsten Geschichten","1. Auflage",2021
"Das Leben geht heiter",NULL,2022
"Das Leben – Geschichten aus der Wirklichkeit",NULL,2022
"Das Leben im Leben ...","1. Aufl.",2010
"Das Leben ist besser als sein Ruf","Vollständige Taschenbuchausgabe, 1. Auflage",2016
"Das Leben ist doch lebenswert",NULL,2009
"Das Leben ist ein Angelteich","1. Auflage",2020
"Das Leben ist eine Achterbahnfahrt",NULL,2019
"Das Leben ist eine Zicke","1. Auflage",2018
"Das Leben ist ein Kabarett",NULL,2008
"Das Leben ist ein Märchen",NULL,2012
"Das Leben ist ein Maskenball","1. Auflage",2018
"Das Leben ist ein Ponyhof",NULL,2015
"Das Leben ist ein Ponyhof! Erst macht man Mist, dann kuckt man doof!","Erstausgabe",2021
"Das Leben ist ein Ringelspiel","1. Auflage",2022
"Das Leben ist ein Schraubendampfer","1. Auflage",2023
"Das Leben ist keine Kunst","1. Auflage, Taschenbuchausgabe",2017
"Das Leben ist kein Luftballon!",NULL,2014
"Das Leben ist kein Weichspülmittel","Erstveröff.",2013
"Das Leben ist köstlich",NULL,2012
"Das Leben ist schwer wie Sau",NULL,2016
"Das Leben ist so schön!",NULL,2021
"Das Leben ist soso","1. Aufl.",2013
"Das Leben ist Wahnsinn ... aber auch schön",NULL,2020
"Das Leben ist wie ein Buch",NULL,2008
"Das Leben ist wie ein Pfirsich",NULL,2023
"Das Leben lernen",NULL,2008
"Das Leben lieben, trotzdem!",NULL,2008
"Das Leben prickelt wunderbar",NULL,2023
"Das Leben schätzen lernen",NULL,2021
"Das Leben schreibt Geschichten",NULL,2013
"das leben - sehr persönlich betrachtet","1. Auflage",2017
"Das Leben so schön, so gemein, so gefährlich",NULL,2021
"Das Leben und dazu eine Katze",NULL,2019
"Das Leben und Schlimmeres","Orig.-Ausg.",2011
"Das Leben zwischen den Stürmen",NULL,2023
"Das leise Ticken der Sonnenuhr",NULL,2019
"Das letzte Abendrot",NULL,2010
"Das letzte Date",NULL,2016
"Das letzte Frühstück","1. Aufl.",2011
"DAS LETZTE VIERTEL","1. Auflage",2023
"Das Leuchten der Bäume","Originalausgabe",2017
"Das Leuchten der Weihnacht","1. Auflage",2022
"Das Leuchten dieses Tages","1. Auflage",2022
"Das Leuchten unter dem Eis","Orig.-Ausg.",2009
"Das Licht am zweiten Morgen","1. Auflage",2023
"Das Licht auf der Mauer",NULL,2015
"Das Licht der Flammen auf unseren Gesichtern","1. Aufl.",2013
"Das Licht im Spiegel",NULL,2010
"Das Licht von Zauche",NULL,2015
"Das Liebenswerte am Kriminellen",NULL,2019
"Das Lied der triumphierenden Liebe","1. Aufl.",2011
"Das literarische Buch der Bäume",NULL,2016
"Das literarische Gartenbuch",NULL,2014
"Das literarische Orchester",NULL,2021
"Das Loch in der Hosentasche","1. Auflage",2019
"Das Loch in der Wand",NULL,2014
"Das lodernde Feuer","Orig.-Ausg.",2012
"Das Logo-Buch",NULL,2008
"Das Lotto-Ritual","Originalausgabe",2023
"Das Ludwig-Richter-Frühlingsalbum",NULL,2008
"Das Luxusgoldzimmer","1. Auflage",2015
"Das macht mich froh",NULL,2014
"Das Mädchen an der Knopflochmaschine",NULL,2018
"Das Mädchen aus Ostberlin",NULL,2013
"Das Mädchen, der Luftballon und der Mond",NULL,2016
"Das Mädchen im Walnussbaum",NULL,2017
"Das MädchenInternat","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Das Mädchen mit dem roten Koffer und andere unglaubliche Geschichten","1. Aufl.",2015
"Das Mädchen und die Zikade","1. Aufl.",2012
"Das Mädchen vom Felsriff","1. Aufl.",2008
"Das Mailäuten",NULL,2008
"Das Märchentor","1. Aufl.",2014
"Das Märchen von der Elfe",NULL,2019
"Das Meckern der Pferdekopfgeige",NULL,2010
"Das Meer in Erwartung der Schwimmer","1. Aufl.",2010
"Das Meerschweinchen im Kartoffelsalat",NULL,2010
"Das Meer und ich waren im besten Alter","1. Auflage",2017
"Das Meisterduo","1. Auflage",2019
"Das merkwürdige Leben auf dem Lande und anderswo",NULL,2015
"Das Messer",NULL,2018
"Das metaphysische Café und andere Wahrheiten","1. Auflage",2018
"Das Mietshaus des Schreckens","1. Aufl.",2008
"Das Mirakelbuch","1. Aufl.",2012
"Das Missverständnis",NULL,2022
"Das Museum der zerbrochenen Beziehungen","Deutsche Erstausgabe, 1. Auflage",2018
"Das müssen wir nicht mehr haben!","1. Aufl.",2008
"Das Muttermal auf der Haut der Einsamkeit","1. Auflage",2023
"Das mysteriöse Sammelsurium","1. Auflage",2021
"Das nächtliche Begräbnis des William Clarke",NULL,2023
"Das Nachtpfauenauge","Nachdr.",2013
"Das Nachttisch-Buch",NULL,2013
"Das nackte Grauen","Originalausgabe",2018
"Das Narrenschiff - keine Avantgarde",NULL,2010
"Das Nebelrad","1. Auflage",2017
"Das Negligé und andere Erzählungen","Originalausgabe",2019
"Das Nest","1. Aufl.",2011
"Das neue kleine Buch vom Osterlachen",NULL,2023
"Das Neunuhrglöcklein von Schaffhausen","1. Auflage",2022
"Das nicht Greifbare","1. Erstauflage",2018
"Das nie erreichte Ende der Welt","1. Aufl.",2014
"Das Nomadenmädchen und die Alte Méabh",NULL,2023
"Das Nonplusultra erleben","1. Auflage",2016
"Das öde Land und andere Geschichten vom Ende der Welt","Deutsche Erstveröffentlichung, 1. Auflage",2015
"DAS OFFENE GRAB","1. Auflage",2021
"Das Opfer. Unbekannte Erzählungen","1. Auflage",2018
"Das Paradies Oberhavel","Erstaufl.",2009
"Das perfekte Paar",NULL,2020
"Das Pfeifen im Ofen",NULL,2013
"Das Pflaster","1. Auflage",2018
"Das Pizza-Gorgonzola-Feeling",NULL,2008
"Das Plagiat","Zweite Auflage",2015
"Das Plejadenquartett",NULL,2010
"Das poetische Werk","Orig.-Ausg., 1. Aufl.",2011
"Da sprang er in den Ätna",NULL,2011
"Das Privileg der Außenseiter","1. Auflage",2023
"Das Protokoll und andere Erzählungen",NULL,2014
"Das Puppenhaus und andere Kurzgeschichten",NULL,2008
"Das Puzzle des Lebens","Erstauflage",2016
"Das Rad schläft",NULL,2013
"Das Rätsel eines Tages und andere surreale Geschichten",NULL,2011
"Das Rauschen der Tage",NULL,2014
"Das Regenbogenschüsselchen",NULL,2008
"Das Reh in der Dachlawine","1. Aufl.",2012
"Das Reich der Nekromanten",NULL,2008
"Das Reisen zwischen dem Licht",NULL,2009
"Das Riesen Urlaubsbuch der 204 heiteren Kurzgeschichten","1. Auflage",2020
"Das rosarote Hotel",NULL,2016
"Das rote Bonbon","1. Auflage",2021
"Das rote Haus","1. Auflage",2020
"Das rote Sofa",NULL,2013
"Das rote Tuch","1. Auflage",2021
"Das Rumoren am Rande der Ereignisse","1. Aufl.",2013
"Das Rumpsteak und der Dalai Lama","Originalausgabe",2018
"Das russische Mädchen und andere Erzählungen",NULL,2020
"Das schachspielende Chamäleon","1. Auflage",2019
"Das Scheitern geht weiter oder: Die Ohnmacht des Narren",NULL,2010
"Das Schicksal der Elbenkinder: Elbenkinder Band 4-7: Fantasy Sammelband","1. Auflage",2020
"Das Schicksal Wallensteins","1. Auflage",2023
"Das Schiff, das nie hätte gebaut werden dürfen","1. Auflage",2017
"Das schlagende Herz Ottos IV. Graf von Hoya oder Die Walpurgisnacht auf dem Huckberg","1. Auflage",2019
"Das Schlangentor",NULL,2009
"Das Schloss",NULL,2022
"Das schmerzhafte Weihnachtsglück des Landherrn Rodriguez de Cavalho und andere Erzählungen zur Weihnachtszeit","1. Aufl.",2013
"Das Schmusekätzchen und andere Geschichten",NULL,2013
"Das schnellste Hotel der Welt","1. Auflage",2019
"Das schönste Fest",NULL,2022
"Das schönste Fest im Jahr",NULL,2008
"Das schönste Geschenk","1. Auflage",2018
"Das schönste Geschenk - Geschichten rund um die Liebe","1. Auflage",2021
"Das schönste Weihnachtsfest","1. Auflage",2017
"Das schreckliche Zebra",NULL,2021
"Das Schreibkarussell",NULL,2014
"Das Schulmädchen",NULL,2011
"Das schwarze Holz","1. Auflage",2017
"Das schwarze Schwert","1. Auflage",2017
"Das Schweigen der Agenda",NULL,2023
"Das Schweigen der Gedanken",NULL,2022
"Das Schwein hat blaue Augen",NULL,2016
"Das Schwein vom Dienst","Orig.-Ausg.",2008
"Das Sechs-A-Team - Frauen erschaffen Geschichten","1. Auflage",2021
"Daß einer gestorben ist, heißt nicht, daß einer gelebt hat","1. Auflage",2020
"Das selbst wachsende Buch des Baba",NULL,2015
"Das seltsame Gasthaus in Moate",NULL,2023
"Das Sexhaus der Wollust","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Das SexLabor","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2021
"Das siamesische Klavier","Genehmigte Taschenbuchausg., 1. Aufl.",2012
"Das Silvesterbuch","1. Aufl.",2013
"Das sind die Fans und ihre Geschichten: SG Flensburg-Handewitt",NULL,2016
"Das sind so Geschichten",NULL,2018
"Das Skelett im Lehnstuhl","1. Aufl.",2011
"Das Slamperium schlägt zurück","1. Aufl.",2014
"Das Sofa beim Waldstein","1. Auflage",2020
"Das Sonnengeheimnis und andere Geschichten, die Licht schenken",NULL,2018
"Das Sonntagskind",NULL,2015
"Das späte Mädchen",NULL,2018
"Das Spiel des Wassers","1. Aufl.",2008
"Das Staunen der Kinder","1. Aufl.",2008
"Das steinerne Kaleidoskop","1. Auflage",2021
"Das steinerne Schiff","Erstausg.",2008
"Das System der Äpfel","1. Aufl.",2011
"Das Tafelzimmer Gottes","1. Auflage",2022
"Das Tanklöschfeuerzeug",NULL,2019
"Das Tartufo in der Badewanne","1. Auflage",2022
"Das Taschentuch","1. Auflage",2019
"Das Täubchen, das den Igel küssen wollte",NULL,2020
"Das Tor und der Tod",NULL,2016
"Das Tor zu den Traumländern - Unheimliche Erzählungen","1. Auflage",2023
"Das Trabi-Denkmal und andere deutsche Geschichten","Erw. und verb. Ausg., 1. Aufl.",2013
"Das träumende Einhorn und viele andere Geschichten zum Lesen und Vorlesen",NULL,2009
"Das träumende Mädchen",NULL,2019
"Das Treffen in Brakel","Erstausg.",2010
"Das trojanische Klavier","1. Auflage",2021
"Das T-Shirt meiner Frau","1. Aufl.",2014
"Das ultimative Risotto und andere wichtige Dinge im Leben",NULL,2019
"Das Umrühren des Weihnachtspuddings",NULL,2023
"Das Unbegreifliche der Katzenwege ... und andere Erzählungen","1. Aufl.",2015
"Das Unheil geschehe","1. Auflage",2018
"Das unheilvolle Niesen",NULL,2017
"Das unheimliche Haus",NULL,2023
"Das unselige Vermächtnis","1. Auflage",2016
"Das unsichtbare Band","Deutsche Erstausgabe, Originalausgabe",2021
"Das unsichtbare Mädchen","1. Auflage",2023
"Das Unvollendete","1. Auflage",2023
"Das Urteil","Orig.-Ausg.",2008
"Das Urteil und andere Erzählungen",NULL,2008
"Das Verbrechen wohnt gleich nebenan","1. Auflage",2019
"Das Verlangen der Lustsklavinnen","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2023
"Das verlorene Gesicht","1. Auflage",2017
"Das verräterische Herz und andere Erzählungen von der Vils","1. Auflage",2016
"Das Versagen der Pahdora",NULL,2023
"Das Verschwinden der Eislers","1. Auflage",2015
"Das verschwundene Altarkreuz",NULL,2013
"Das verschwundene Manuskript und andere Geschichten","1. Auflage",2019
"Das vierte zerbrochene Glas",NULL,2022
"Das Violoncello",NULL,2011
"Das Vorlesebuch für Demenzkranke",NULL,2013
"Das Wandern ist der Kinder Lust","1. Auflage",2016
"Das war ich nicht, das waren die Hormone!","1. Aufl.",2010
"Das war ja klar","1. Aufl.",2011
"Das wärmende Licht","1. Auflage",2019
"Das Wasser des Lebens",NULL,2022
"Das Wasser des Pazifiks","1. Auflage",2016
"Das Wasserloch in der Wüste","1. Aufl.",2009
"Das weibliche Element",NULL,2012
"Das Weihnachtsbaby wird gerettet",NULL,2013
"Das Weihnachtsgeschenk",NULL,2008
"Das Weihnachtskamel und andere Geschichten",NULL,2016
"Das Weihnachtskind","1. Auflage",2020
"Das Weihnachtskind und andere Erzählungen","1. Aufl.",2011
"Das Weihnachtsschaf","1. Auflage",2016
"Das Weihnachtswunder",NULL,2008
"Das Weiße im Auge",NULL,2021
"Das weisse Meer",NULL,2011
"Das Weißwurstfrühstück und andere Sauereien",NULL,2011
"Das Werk",NULL,2011
"Das Wesen wartet bei den Mähdreschern ; Geschichten aus der Grauzone",NULL,2018
"Das Weserschwein am Weserstein...",NULL,2016
"Das Wetter hat viele Haare",NULL,2017
"Das wilde Leben","1. Aufl.",2012
"Das Wildschwein im Himmelbett",NULL,2017
"Das Wildtaubenpaar","1. Auflage",2022
"Das wird ein Fest",NULL,2010
"Das Wort kennt keine Zeit","1. Auflage",2015
"Das wunderbare Drachenbuch","Originalausgabe, ungekürzte Ausgabe",2012
"Das Wunderbare ist so nah",NULL,2014
"Das Wunder findet nicht statt",NULL,2020
"Das Wunder Österreich",NULL,2014
"Das Wunder steckt in der Weihnachtstüte und weitere wahre Erzählungen",NULL,2014
